City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
4033543,Teahupoo,75,PF,1612062437,83,-17.8333,-149.2667,77,19.57
2123814,Leningradskiy,0,RU,1612061903,82,69.3833,178.4167,-27.18,4.61
2611060,Tvøroyri,75,FO,1612062437,69,61.5556,-6.8111,32,18.41
4031637,Lavrentiya,65,RU,1612061857,84,65.5833,-171,-13.86,7.49
2234794,Banyo,0,CM,1612062437,28,6.75,11.8167,64.13,4.18
2323675,Sapele,14,NG,1612062437,87,5.8941,5.6767,78.39,2.24
1529660,Aksu,46,CN,1612062184,77,41.1231,80.2644,21.24,2.53
1735106,George Town,20,MY,1612061867,57,5.4112,100.3354,84,9.22
2084442,Vanimo,100,PG,1612061869,68,-2.6741,141.3028,85.3,10.2
3897334,Calbuco,0,CL,1612062438,87,-41.768,-73.1273,51.8,2.3
3424607,Tasiilaq,75,GL,1612061877,33,65.6145,-37.6368,21.2,11.5
2171465,Clarence Town,90,AU,1612062438,83,-32.5833,151.7833,77,19.57
108410,Riyadh,0,SA,1612061618,53,24.6877,46.7219,50,3.44
3372472,Vila Franca do Campo,75,PT,1612061911,94,37.7167,-25.4333,63,12.66
2015306,Tiksi,100,RU,1612061861,86,71.6872,128.8694,-26.99,4.63
2022572,Khatanga,40,RU,1612061860,78,71.9667,102.5,-47.29,1.7
3137469,Sørland,41,NO,1612061889,89,67.667,12.6934,30.7,7.54
5972291,Havre-St-Pierre,90,CA,1612062439,68,50.2334,-63.5986,24.8,6.91
1215502,Banda Aceh,70,ID,1612061837,70,5.5577,95.3222,81.61,12.64
523392,Naryan-Mar,100,RU,1612061913,93,67.6713,53.087,1.22,11.21
352733,Marsá Maţrūḩ,0,EG,1612062439,63,31.3525,27.2453,59,17.27
3646767,Caraballeda,40,VE,1612062439,88,10.6112,-66.8522,75.2,7.99
4930956,Boston,1,US,1612061817,48,42.3584,-71.0598,16,12.66
1244926,Hambantota,20,LK,1612061855,94,6.1241,81.1185,77,6.91
3157656,Fillan,75,NO,1612062439,69,63.6064,8.9696,33.8,11.5
1271685,Gangānagar,0,IN,1612062373,38,29.9167,73.8833,52.25,4.65
556268,Ostrovnoy,100,RU,1612061882,95,68.0531,39.5131,15.35,7.52
3421193,Paamiut,29,GL,1612061912,89,61.994,-49.6678,25.16,15.08
3649408,Altagracia de Orituco,36,VE,1612062440,83,9.8601,-66.3814,70.38,6.96
3393536,Olinda,40,BR,1612062440,69,-8.0089,-34.8553,78.8,5.75
2020121,Mayya,100,RU,1612062440,59,61.7333,130.2811,-45.4,3.2
149812,Sokoni,58,TZ,1612062440,81,-6.4333,39.55,80.65,14.27
1648759,Bima,100,ID,1612061776,64,-8.4667,118.7167,86.81,2.84
2145554,Ulladulla,90,AU,1612061914,94,-35.35,150.4667,69.01,8.05
515966,Oksovskiy,93,RU,1612062440,97,62.6062,39.8984,16.07,5.57
1082243,Ambilobe,0,MG,1612062440,92,-13.2,49.05,72.61,2.26
1006984,East London,71,ZA,1612061859,84,-33.0153,27.9116,70.34,4.12
2156643,Mount Gambier,40,AU,1612061606,46,-37.8333,140.7667,71.6,6.91
86049,Jalu,0,LY,1612062440,46,29.0331,21.5482,57.81,10.69
1071296,Antalaha,0,MG,1612062441,87,-14.9003,50.2788,75.56,4.47
161901,Kaka,100,TM,1612062441,50,37.3482,59.6143,49.1,9.06
3395981,Maceió,40,BR,1612062438,94,-9.6658,-35.7353,75.2,2.3
1490256,Talnakh,0,RU,1612061854,71,69.4865,88.3972,-31.23,7.14
3466980,Caravelas,1,BR,1612062441,87,-17.7125,-39.2481,74.48,3.87
2138522,Poya,38,NC,1612062441,64,-21.35,165.15,81.88,10.98
2074865,Carnarvon,2,AU,1612061861,58,-24.8667,113.6333,91.4,4.61
